"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @MelGibsonSite: Mel Gibson &amp; Mark Wahlberg: Like Father, Like Son in Daddy‚Äôs Home 2 https://t.co/hMVQY3YAXy #MelGibson via @MelGibsonSite",FALSE,0,NA,2017-12-04 00:31:27,FALSE,NA,"937479426232803328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ravelo",9,TRUE,FALSE,NA,NA
"2","Showing naman diay daddy‚Äôs home 2 Ì†ΩÌ∏è",FALSE,1,NA,2017-12-04 00:30:00,FALSE,NA,"937479060275343360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","christbugal",0,FALSE,FALSE,NA,NA
"3","RT @CRISSANGELPR: Hysterical! Ì†ΩÌ∏Ç My 3 1/2 year old son Johnny Crisstopher @LilSpunkyWitch driving daddy and mommy Ì†ΩÌ±∏ @MaleficDemon home. Love‚Ä¶",FALSE,0,NA,2017-12-04 00:28:20,FALSE,NA,"937478642300542976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BadHumanNature",12,TRUE,FALSE,NA,NA
"4","RT @gabby_022: Daddy's home 2 was so funny Ì†ΩÌ∏Ç",FALSE,0,NA,2017-12-04 00:27:28,FALSE,NA,"937478424133799936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IsraelRayMoral1",1,TRUE,FALSE,NA,NA
"5","Daddy's home 2 was so funny Ì†ΩÌ∏Ç",FALSE,2,NA,2017-12-04 00:25:48,FALSE,NA,"937478006616018952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gabby_022",1,FALSE,FALSE,NA,NA
"6","gen think daddy‚Äôs home 2 is my new fav xmas filmÌ†æÌ¥óÌ†ºÌæÑ‚òÉÔ∏èÌ†ΩÌ≤ñ",FALSE,0,NA,2017-12-04 00:25:21,FALSE,NA,"937477890819657728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","annamatthews__",0,FALSE,FALSE,NA,NA
"7","Daddy's home 2 is an acceptable comedy movie. Like better than expected maybe. Kind of.",FALSE,0,NA,2017-12-04 00:24:45,FALSE,NA,"937477738511917056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ZA94",0,FALSE,FALSE,NA,NA
"8","Probably gonna miss watching Daddy's Home 2 tonight... welp... guess I can try making gaming videos for the time being",FALSE,0,NA,2017-12-04 00:24:44,FALSE,NA,"937477736863621120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AudriReaper",0,FALSE,FALSE,NA,NA
"9","RT @TheWrestlingCov: About to go see ""Daddy's Home 2"" with Will Ferrel, Mark Wahlberg and  John Cena in it...should be hilarious.

#DaddysH‚Ä¶",FALSE,0,NA,2017-12-04 00:22:05,FALSE,NA,"937477071047081984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dabombard",3,TRUE,FALSE,NA,NA
"10","I rated Daddy's Home 2 (2017) 5/10  #IMDb https://t.co/DA5We3E6j0",FALSE,0,NA,2017-12-04 00:20:10,FALSE,NA,"937476587913654272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","patrick2bateman",0,FALSE,FALSE,NA,NA
"11","@____Gil Daddy‚Äôs home 2",FALSE,0,"____Gil",2017-12-04 00:15:43,FALSE,"937471673875484672","937475467665395712","430368382","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ScreetMoneyRick",0,FALSE,FALSE,NA,NA
"12","I'm at @Cinemex for Daddy's Home 2 in Tlanepantla, MEX https://t.co/LXe3eoqANx",FALSE,0,NA,2017-12-04 00:14:14,FALSE,NA,"937475094808580098",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Brendiux_k",0,FALSE,FALSE,"-99.2108828","19.5475503"
"13","RT @twitersgoodboy: Broke: Die Hard is the greatest Christmas movie
Woke: Batman Returns is the greatest Christmas movie
Bespoke: Daddy's H‚Ä¶",FALSE,0,NA,2017-12-04 00:11:37,FALSE,NA,"937474434369069056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SaneIsCrazy",2,TRUE,FALSE,NA,NA
"14","RT @breacher18: I'm at Cineworld for Daddy's Home 2 in Nottingham, Nottinghamshire https://t.co/8Yui278pTs",FALSE,0,NA,2017-12-04 00:09:04,FALSE,NA,"937473791885762560",NA,"<a href=""https://twitter.com/JiveNottingham"" rel=""nofollow"">JiveNottingham</a>","JiveNottingham",0,TRUE,FALSE,NA,NA
"15","Great day taking class and then watching Daddy's Home 2 with my lovely friends. https://t.co/2wcJ61Vfkk",FALSE,0,NA,2017-12-04 00:08:47,FALSE,NA,"937473724051226624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Peaches_6",0,FALSE,FALSE,NA,NA
"16","It's been such a long day to and from the hospital! Had daddy home for 2 weeks and now he's not.. It's so hard with‚Ä¶ https://t.co/ex6jY3Jpzq",FALSE,0,NA,2017-12-03 23:59:28,TRUE,NA,"937471377120157696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EddiesBrat",0,FALSE,FALSE,NA,NA
"17","Father Figures, Daddy‚Äôs Home 2, Bad Moms Christmas, Christmas with Papa, Mother‚Äôs Holiday, Step-Dad‚Äôs Hanukkah, Mom‚Ä¶ https://t.co/lN5xrfKk0V",FALSE,11,NA,2017-12-03 23:55:30,TRUE,NA,"937470378061918208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","srothbell",0,FALSE,FALSE,NA,NA
"18","@LloydyAVFC I feel like this went over my head because I didn‚Äôt actually pay attention to the trailer so I don‚Äôt kn‚Ä¶ https://t.co/1PZyX30TI3",FALSE,0,"LloydyAVFC",2017-12-03 23:55:13,TRUE,"937469957289496576","937470306666598400","578808298","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FlashPlayDirty",0,FALSE,FALSE,NA,NA
"19","Weekend Box Office 

1. Coco
2. Justice League 
3. Wonder
4. Thor: Ragnarok 
5. Daddy‚Äôs Home 2

Exactly like last w‚Ä¶ https://t.co/gLzh5notCb",FALSE,0,NA,2017-12-03 23:50:20,TRUE,NA,"937469079882842112",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","gregandmovies",0,FALSE,FALSE,NA,NA
"20","Before you see @DaddysHome 2.. Check this out from @Isthismovieforu

https://t.co/ShzNq7sfiq

#Reaction #movie‚Ä¶ https://t.co/a8HiweQF9K",FALSE,1,NA,2017-12-03 23:41:02,TRUE,NA,"937466736907116544",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AuscastNetwork",0,FALSE,FALSE,NA,NA
"21","L11. Daddy's Home 2
I do think there were some issues reoccuring or new, but otherwise this was a pretty fun return‚Ä¶ https://t.co/E5ZT33RFoN",FALSE,0,"FyroFV1247",2017-12-03 23:40:58,TRUE,"937466400158838784","937466720616308736","824454399531495428","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FyroFV1247",0,FALSE,FALSE,NA,NA
"22","I'm at Cin√©polis VIP for Daddy's Home 2 in Merida, YUC https://t.co/IWHQnroU7X",FALSE,0,NA,2017-12-03 23:35:34,FALSE,NA,"937465363872313344",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","hectorin226",0,FALSE,FALSE,NA,NA
"23","Daddy's Home 2 is amazing!!!",FALSE,1,NA,2017-12-03 23:35:19,FALSE,NA,"937465300676726784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DanniLouisaa",0,FALSE,FALSE,NA,NA
"24","Just saw Daddy‚Äôs Home 2

Consensus: it might‚Äôve run a little bit long, but as far as modern comedies &amp; sequels go,‚Ä¶ https://t.co/TE09Qj7uZe",FALSE,0,NA,2017-12-03 23:29:23,TRUE,NA,"937463807881949184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheGBrayMiller",0,FALSE,FALSE,NA,NA
"25","Daddy's Home 2 - hilarious! What a cast!",FALSE,0,NA,2017-12-03 23:28:21,FALSE,NA,"937463545272455179",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","missvanspronsen",0,FALSE,FALSE,NA,NA
"26","I rated Daddy's Home 2 (2017) 6/10  #IMDb https://t.co/bhp5FeFxTU",FALSE,0,NA,2017-12-03 23:17:29,FALSE,NA,"937460810904989697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thurston1977",0,FALSE,FALSE,NA,NA
"27","right,,, DADDY'S HOME 2 IS SO FUNNY ME WND MY DAD WERE CRY LAUGHING THROUGHOUT ALL OF IT OGMNGJSJSJ",FALSE,0,NA,2017-12-03 23:12:16,FALSE,NA,"937459497869639680",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ibegtris",0,FALSE,FALSE,NA,NA
"28","daddy's home 2 was shocking",FALSE,0,NA,2017-12-03 23:09:02,FALSE,NA,"937458686041128962",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","storton10",0,FALSE,FALSE,NA,NA
"29","RT @MelGibsonSite: Mel Gibson &amp; Mark Wahlberg: Like Father, Like Son in Daddy‚Äôs Home 2 https://t.co/hMVQY3YAXy #MelGibson via @MelGibsonSite",FALSE,0,NA,2017-12-03 23:08:00,FALSE,NA,"937458425549787136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","khalildh",9,TRUE,FALSE,NA,NA
"30","Daddy's home 2 ‚ù§Ô∏è (@ AMC Century City 15 - @amctheatres for Daddy's Home 2 in Los Angeles, CA) https://t.co/cUQy04i07Q",FALSE,0,NA,2017-12-03 23:04:58,FALSE,NA,"937457660647084032",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Sundusalkhaldi",0,FALSE,FALSE,"-118.41885745","34.05782203"
"31","I've seen the same part of Daddy's Home 2 like 1000x",FALSE,0,NA,2017-12-03 23:00:11,FALSE,NA,"937456458559565826",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Juggernautx59",0,FALSE,FALSE,NA,NA
"32","Daddy's home 2 is sooo funny",FALSE,0,NA,2017-12-03 22:56:28,FALSE,NA,"937455521954783233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","whaismyageagain",0,FALSE,FALSE,NA,NA
"33","As many people that have told me to go see Daddy's Home 2 you'd think I would have gone to see it by now Ì†æÌ¥î",FALSE,0,NA,2017-12-03 22:55:59,FALSE,NA,"937455403067158528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TaylorRecord",0,FALSE,FALSE,NA,NA
"34","Murder on the Orient Express is a Daddy's Home 2 apologist",FALSE,0,NA,2017-12-03 22:40:34,FALSE,NA,"937451522220163074",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","themangohour",0,FALSE,FALSE,NA,NA
"35","Tryna watch daddy‚Äôs home 2",FALSE,0,NA,2017-12-03 22:37:54,FALSE,NA,"937450851832139777",NA,"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","IAmTayDaGreat",0,FALSE,FALSE,NA,NA
"36","Daddy's home 2 was good!",FALSE,0,NA,2017-12-03 22:37:16,FALSE,NA,"937450691014127617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thatssotasha",0,FALSE,FALSE,NA,NA
"37","@weebry73 @taylormccall Went to see Daddy‚Äôs Home 2 today and the trailer was on the big screen. A wee bit of pee leaked out! Ì†ΩÌ∏Ç",FALSE,0,"weebry73",2017-12-03 22:16:49,FALSE,"937438234702962689","937445543533572098","864285667","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","daviebrown",0,FALSE,FALSE,NA,NA
"38","Watching Daddy‚Äôs Home 2 with the kid. Ì†ºÌæ¨Ì†ΩÌ≥Ω https://t.co/xKT0DjKODO",FALSE,0,NA,2017-12-03 22:13:31,FALSE,NA,"937444716022341632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Broken_Mann",0,FALSE,FALSE,NA,NA
"39","Just watched my 1st xmas film, Daddy‚Äôs Home 2Ì†ºÌæÑ joke film and it was for free cus there was nobody at the cashier desk in the cinemaÌ†ΩÌ±åÌ†ºÌøΩÌ†ΩÌ∏ÜÌ†ΩÌ∏ÇÌ†æÌ¥¶Ì†ºÌøΩ‚Äç‚ôÇÔ∏è",FALSE,4,NA,2017-12-03 22:11:23,FALSE,NA,"937444176148467712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShanyG_",0,FALSE,FALSE,NA,NA
