"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @DigCapSam: Wonder‚Äã On November 17, get ready to meet Auggie Pullman! #Wonder #Trailer #filmrelease @JacobTremblay ‚Äã@Lionsgate  Owne Wil‚Ä¶",FALSE,0,NA,2017-12-08 23:58:43,FALSE,NA,"939283127817486336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LadyLucksMelano",6,TRUE,FALSE,NA,NA
"2","Just saw the movie #Wonder. Must‚Äôve been a lot of dust in that theatre because there was a substantial amount of li‚Ä¶ https://t.co/rnY6fCvfUM",FALSE,3,NA,2017-12-08 23:57:03,TRUE,NA,"939282707225481221",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jasonautryphoto",0,FALSE,FALSE,NA,NA
"3","RT @wqingsh: ‚ÄúHe can‚Äôt change the way he looks, but maybe we can change the way we see.‚Äù ‚ù§Ì†ΩÌ∏≠ #Wonder #ChooseKind https://t.co/zOEUziPdtH",FALSE,0,NA,2017-12-08 23:54:54,FALSE,NA,"939282166864797696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","surawat_poy",121,TRUE,FALSE,NA,NA
"4","RT @jlschwartz16: Today was the 5th grade‚Äôs trip to the touching movie, #Wonder. The students loved seeing our read aloud book come to life‚Ä¶",FALSE,0,NA,2017-12-08 23:54:30,FALSE,NA,"939282067266965504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","District22BKNY",1,TRUE,FALSE,NA,NA
"5","RT @DigCapSam: Wonder‚Äã On November 17, get ready to meet Auggie Pullman! #Wonder #Trailer #filmrelease @JacobTremblay ‚Äã@Lionsgate  Owne Wil‚Ä¶",FALSE,0,NA,2017-12-08 23:54:01,FALSE,NA,"939281946856660992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DigCapSam",6,TRUE,FALSE,NA,NA
"6","Great writer, she made me cry when I was reading the novel and now when I'm watching the movie;) #wonder https://t.co/3D50MeBuLQ",FALSE,1,"emaly1001",2017-12-08 23:54:01,FALSE,"939250600868548610","939281946039017473","3192487483","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emaly1001",1,FALSE,FALSE,NA,NA
"7","I always #wonder... #where are they going? #where are they coming from? #what are they going to‚Ä¶ https://t.co/UX3Mokm9ET",FALSE,0,NA,2017-12-08 23:53:38,FALSE,NA,"939281851088297984",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","KimothyRich",0,FALSE,FALSE,NA,NA
"8","@LannyZechar Wow. Opened up my eyes. #Wonder",FALSE,1,"LannyZechar",2017-12-08 23:53:18,FALSE,"939269382542413829","939281764966596608","842192785","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","neildang30",0,FALSE,FALSE,NA,NA
"9","#WonderTheMovie with @smith3rdgrade fun to see 3rd graders from @SweeneyElem https://t.co/4corAbUH0g",FALSE,11,NA,2017-12-08 23:47:18,FALSE,NA,"939280254576799750",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KatieBohn1",0,FALSE,FALSE,NA,NA
"10","What an amazing day this was! Ì†ºÌæû‚ú®Ì†ºÌæ• #ChooseKind #Wonder @StGregoryHCDSB https://t.co/k47SENjKjH",FALSE,17,NA,2017-12-08 23:47:05,FALSE,NA,"939280201623650304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shanna_brophy",2,FALSE,FALSE,NA,NA
"11","RT @SonomaChristian: #TheStarmovie &amp; #WondertheMovie remain popular in #theaters. Have you seen them yet? Plan a #weekend trip to the #movi‚Ä¶",FALSE,0,NA,2017-12-08 23:46:28,FALSE,NA,"939280043611754496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","joan92853",7,TRUE,FALSE,NA,NA
"12","RT @Laurettamylove: May our sense of #wonder #awaken our #Hearts &amp; #Minds to recognize &amp; appreciate the mystery of our own life.Ì†ΩÌ≤óÌ†ΩÌ≥öÌ†ΩÌ∫¥‚Äç‚ôÄÔ∏èÌ†ΩÌ≤ó htt‚Ä¶",FALSE,0,NA,2017-12-08 23:41:35,FALSE,NA,"939278816568053763",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Derbino_TV",487,TRUE,FALSE,NA,NA
"13","Adopt a rescue dog- #ChooseKind. Name your new puppy Via- take your #Wonder ‚ù§Ô∏è to a new level. @RJPalacio, meet Via‚Ä¶ https://t.co/pqmpZexvg7",FALSE,9,NA,2017-12-08 23:37:20,TRUE,NA,"939277748429819904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReneeEBowman",1,FALSE,FALSE,NA,NA
